track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,172.127,76,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,spotify:track:0SqqAgdovOE24BzxIClpjw,0.758,0.86,11,-5.16,0.0695,0.021,6.54e-05,0.344,0.453,97.014,4
Bichiyal,4j4w4CXm6BSr0s25wAWrrX,196.5,75,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX,spotify:track:4j4w4CXm6BSr0s25wAWrrX,0.766,0.737,10,-4.242,0.0458,0.31,6.63e-06,0.114,0.662,93.956,4
Soliá,7sOfmPd18RWp3FoCzpa7Kw,159.282,75,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw,spotify:track:7sOfmPd18RWp3FoCzpa7Kw,0.81,0.71,2,-5.507,0.0854,0.117,0.000132,0.154,0.184,92.041,4
La Zona,5kqNIqFjijuzvVLhuY9B8j,136.892,77,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j,spotify:track:5kqNIqFjijuzvVLhuY9B8j,0.801,0.762,1,-3.661,0.0409,0.2,7.04e-05,0.254,0.81,93.992,4
Que Malo,53v2u51nq3CxiKUNphRzP1,167.975,76,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1,spotify:track:53v2u51nq3CxiKUNphRzP1,0.787,0.802,7,-6.181,0.0599,0.0832,0.0,0.153,0.446,94.026,4
Vete,2n7ohqg1s68ToAHh4u9mcW,192.024,75,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,spotify:track:2n7ohqg1s68ToAHh4u9mcW,0.672,0.886,1,-4.394,0.188,0.0363,8.78e-06,0.101,0.526,91.976,4
Ignorantes,38RIEav39FGi86jppxO0du,210.606,72,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,spotify:track:38RIEav39FGi86jppxO0du,0.536,0.85,1,-5.161,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,4
A Tu Merced,4r9jkMEnArtWGH2rL2FZl0,175.918,79,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0,spotify:track:4r9jkMEnArtWGH2rL2FZl0,0.791,0.86,0,-4.784,0.0568,0.169,0.000106,0.106,0.887,92.023,4
Una Vez,5J7teKIJGtqVypgYI6sqXj,232.496,80,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj,spotify:track:5J7teKIJGtqVypgYI6sqXj,0.598,0.55,11,-5.402,0.0831,0.132,2.58e-06,0.0955,0.543,83.836,4
Safaera,2DEZmgHKAvm41k4J3R2E9Y,295.176,78,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,0.829,0.607,2,-4.074,0.379,0.0103,0.0,0.107,0.685,96.172,4
25/8,4NqQaovM14WR2hNPMFxgjb,243.275,71,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb,spotify:track:4NqQaovM14WR2hNPMFxgjb,0.732,0.761,4,-5.469,0.0549,0.092,0.0,0.0716,0.542,151.982,4
Está Cabrón Ser Yo,4saHEjXw7O1NXJOzBkUKKG,227.939,70,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG,spotify:track:4saHEjXw7O1NXJOzBkUKKG,0.854,0.81,10,-3.999,0.254,0.0732,0.0,0.123,0.879,154.083,4
Puesto Pa' Guerrial,5gCg2qMPzKkW4jS4dBKdDs,190.207,62,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs,spotify:track:5gCg2qMPzKkW4jS4dBKdDs,0.686,0.867,4,-5.342,0.221,0.311,0.0,0.1,0.658,139.968,4
P FKN R,0fgsKar6uBO08vzHXkTjWi,258.28,65,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi,spotify:track:0fgsKar6uBO08vzHXkTjWi,0.635,0.82,5,-5.749,0.0772,0.409,0.0,0.244,0.528,101.024,4
Hablamos Mañana,1V8XneTrX6kKeoxYbk4x6h,240.253,72,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h,spotify:track:1V8XneTrX6kKeoxYbk4x6h,0.677,0.683,1,-4.496,0.0469,0.0869,0.0,0.0998,0.514,156.019,4
<3,4MZSqgwlE71CWZ6qQ3gkKm,157.967,69,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm,spotify:track:4MZSqgwlE71CWZ6qQ3gkKm,0.665,0.631,10,-7.589,0.229,0.602,1.7e-06,0.152,0.634,80.353,4
MOJAITA,71pEiUWwfDFiRO6RmFpnBf,187.333,63,https://open.spotify.com/track/71pEiUWwfDFiRO6RmFpnBf,spotify:track:71pEiUWwfDFiRO6RmFpnBf,0.842,0.45,0,-3.602,0.102,0.0171,0.0,0.377,0.885,172.069,4
YO LE LLEGO,0uIfrUwwg0Z7KTitul7E3T,249.6,61,https://open.spotify.com/track/0uIfrUwwg0Z7KTitul7E3T,spotify:track:0uIfrUwwg0Z7KTitul7E3T,0.792,0.785,9,-4.695,0.0641,0.0104,0.0,0.104,0.528,155.036,4
CUIDAO POR AHÍ,6SYSu569pfYdkDT9A5lZqi,198.32,60,https://open.spotify.com/track/6SYSu569pfYdkDT9A5lZqi,spotify:track:6SYSu569pfYdkDT9A5lZqi,0.813,0.845,4,-2.979,0.077,0.111,0.00241,0.174,0.586,90.98,4
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,222.346,80,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,spotify:track:25ZAibhr3bdlMCLmubZDVt,0.791,0.639,10,-4.443,0.253,0.0275,0.0,0.362,0.939,92.603,4
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,242.573,86,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,spotify:track:0fea68AdmYNygeTGI4RC18,0.646,0.754,7,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,4
UN PESO,7hynhxDoDpgMIV12JuVtNa,277.106,81,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,spotify:track:7hynhxDoDpgMIV12JuVtNa,0.675,0.627,5,-7.125,0.213,0.125,0.0,0.0784,0.961,79.31,4
ODIO,7alOsNr36sJ8CyOEP4aILq,270.4,63,https://open.spotify.com/track/7alOsNr36sJ8CyOEP4aILq,spotify:track:7alOsNr36sJ8CyOEP4aILq,0.698,0.74,6,-3.838,0.0388,0.215,0.0,0.116,0.529,139.99,4
