track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
2/Catorce,78QcVmzxS0wIwuC2rpAauI,205.714,70,https://open.spotify.com/track/78QcVmzxS0wIwuC2rpAauI,spotify:track:78QcVmzxS0wIwuC2rpAauI,0.56,0.768,3,-3.497,0.0859,0.709,0.000791,0.115,0.372,112.084,3
Aquel Nap ZzZz,5bQLsyTrUaMQRfr6whwGe5,295.038,75,https://open.spotify.com/track/5bQLsyTrUaMQRfr6whwGe5,spotify:track:5bQLsyTrUaMQRfr6whwGe5,0.495,0.457,4,-6.044,0.0797,0.62,0.000228,0.109,0.311,79.513,4
Cúrame,1FlL8ycld6uVDDyhV7P5FA,164.705,80,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA,spotify:track:1FlL8ycld6uVDDyhV7P5FA,0.625,0.765,9,-3.599,0.0548,0.584,0.00111,0.112,0.262,102.101,4
Cosa Guapa,7aWiJeMyxxPEyjwvZyauAF,255.712,76,https://open.spotify.com/track/7aWiJeMyxxPEyjwvZyauAF,spotify:track:7aWiJeMyxxPEyjwvZyauAF,0.728,0.52,11,-4.431,0.0943,0.0748,0.000687,0.151,0.399,118.396,4
Desenfocao',2CEf2gU5ZJamLXa3NrgAvA,170.535,73,https://open.spotify.com/track/2CEf2gU5ZJamLXa3NrgAvA,spotify:track:2CEf2gU5ZJamLXa3NrgAvA,0.649,0.706,8,-3.911,0.0353,0.152,0.0,0.161,0.271,139.976,4
¿Cuándo Fue?,4ZNKaE8fcrtDPsRK8RkQIs,168.965,59,https://open.spotify.com/track/4ZNKaE8fcrtDPsRK8RkQIs,spotify:track:4ZNKaE8fcrtDPsRK8RkQIs,0.822,0.462,5,-3.705,0.0635,0.0794,1.09e-06,0.368,0.449,174.002,4
La Old Skul,4Z8HZSApeddaRM2ovivUj4,214.857,74,https://open.spotify.com/track/4Z8HZSApeddaRM2ovivUj4,spotify:track:4Z8HZSApeddaRM2ovivUj4,0.798,0.795,9,-2.357,0.08,0.532,1.02e-05,0.0869,0.397,104.912,4
¿Y Eso?,4b9rqLPiePJzzd5hW9I6f6,200.93,64,https://open.spotify.com/track/4b9rqLPiePJzzd5hW9I6f6,spotify:track:4b9rqLPiePJzzd5hW9I6f6,0.744,0.689,0,-3.896,0.106,0.161,0.0,0.131,0.399,171.981,4
Tengo un Pal,3gQwRTXQIbxKJbojcq8wf9,195.566,55,https://open.spotify.com/track/3gQwRTXQIbxKJbojcq8wf9,spotify:track:3gQwRTXQIbxKJbojcq8wf9,0.796,0.682,1,-2.101,0.104,0.242,0.0,0.237,0.696,159.931,4
Brazilera,6jPFaBQGvDFrcyf5kQAJ6G,184.0,57,https://open.spotify.com/track/6jPFaBQGvDFrcyf5kQAJ6G,spotify:track:6jPFaBQGvDFrcyf5kQAJ6G,0.749,0.907,1,-2.362,0.0978,0.072,6.13e-06,0.106,0.819,130.006,4
Dile a El,13Tbv4nflNxg9kYBIbJnd9,209.54,76,https://open.spotify.com/track/13Tbv4nflNxg9kYBIbJnd9,spotify:track:13Tbv4nflNxg9kYBIbJnd9,0.587,0.784,4,-3.572,0.0767,0.375,0.00109,0.111,0.261,90.032,4
Strawberry Kiwi,4jkZjaZkOCpgk2pqV8Wrw3,212.0,58,https://open.spotify.com/track/4jkZjaZkOCpgk2pqV8Wrw3,spotify:track:4jkZjaZkOCpgk2pqV8Wrw3,0.713,0.784,0,-3.992,0.0958,0.191,2.35e-05,0.139,0.528,81.985,4
Mood,2ISzmtY9Exy1IwmJj3Hc7P,176.0,61,https://open.spotify.com/track/2ISzmtY9Exy1IwmJj3Hc7P,spotify:track:2ISzmtY9Exy1IwmJj3Hc7P,0.704,0.798,8,-2.63,0.245,0.202,0.000188,0.127,0.819,168.053,4
Química (feat. The Martinez Brothers),7IZn95vTYrhHRbFmZsdD2A,295.081,56,https://open.spotify.com/track/7IZn95vTYrhHRbFmZsdD2A,spotify:track:7IZn95vTYrhHRbFmZsdD2A,0.791,0.581,1,-2.99,0.157,0.0193,0.0101,0.0765,0.466,119.986,4
Enchule,0S9ZVNTNRzLMgb96tmmG1u,185.718,65,https://open.spotify.com/track/0S9ZVNTNRzLMgb96tmmG1u,spotify:track:0S9ZVNTNRzLMgb96tmmG1u,0.668,0.761,0,-3.319,0.211,0.153,0.0,0.301,0.578,90.043,4
De Cora <3,22Sh5dlwbERqJAq1fZk5b2,190.1,63,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2,spotify:track:22Sh5dlwbERqJAq1fZk5b2,0.683,0.811,11,-2.028,0.241,0.46,4.75e-05,0.128,0.571,176.037,4
Un Sueño (feat. Trippie Redd),2Em9XZZw8yEgxjojjGxntN,222.49,54,https://open.spotify.com/track/2Em9XZZw8yEgxjojjGxntN,spotify:track:2Em9XZZw8yEgxjojjGxntN,0.68,0.68,2,-2.26,0.185,0.328,0.0022,0.107,0.331,192.057,4
Reloj,4loQgPwJHocL3dFwLfjb1J,231.594,72,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,spotify:track:4loQgPwJHocL3dFwLfjb1J,0.537,0.823,8,-2.627,0.211,0.176,3.75e-06,0.124,0.608,175.965,4
No Te Creo,4QSCkYRmv06vKZjXPoarXz,229.333,53,https://open.spotify.com/track/4QSCkYRmv06vKZjXPoarXz,spotify:track:4QSCkYRmv06vKZjXPoarXz,0.892,0.762,11,-2.054,0.189,0.129,6.19e-06,0.107,0.514,179.971,4
Soy Una Gargola,4bEwaORm2IBfu3omjEna7I,249.343,58,https://open.spotify.com/track/4bEwaORm2IBfu3omjEna7I,spotify:track:4bEwaORm2IBfu3omjEna7I,0.711,0.836,4,-3.377,0.195,0.131,0.0,0.401,0.618,94.034,4
Pensándote,2wnhst8yHA4gKuojAgZedh,216.413,72,https://open.spotify.com/track/2wnhst8yHA4gKuojAgZedh,spotify:track:2wnhst8yHA4gKuojAgZedh,0.655,0.79,1,-3.376,0.0762,0.464,0.00165,0.0837,0.56,170.023,4
Perreo Pesau',5bQ9rtAfOUbPmuxjPK8zDp,260.547,65,https://open.spotify.com/track/5bQ9rtAfOUbPmuxjPK8zDp,spotify:track:5bQ9rtAfOUbPmuxjPK8zDp,0.679,0.732,3,-3.068,0.135,0.195,5.2e-06,0.651,0.443,171.887,4
Algo Mágico,7D93pJcwymzaZx8WgBo2zG,261.603,70,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG,spotify:track:7D93pJcwymzaZx8WgBo2zG,0.612,0.699,11,-4.355,0.0667,0.757,0.0,0.161,0.591,100.005,4
Ponte Pa' Mi,1dt2lHi5RCMPuxz4VxKYgi,183.556,71,https://open.spotify.com/track/1dt2lHi5RCMPuxz4VxKYgi,spotify:track:1dt2lHi5RCMPuxz4VxKYgi,0.625,0.808,8,-4.971,0.16,0.394,0.0,0.148,0.647,85.016,4
"Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) - Remix",4RjOEjzp0gCCgfCRbCNg5y,323.786,52,https://open.spotify.com/track/4RjOEjzp0gCCgfCRbCNg5y,spotify:track:4RjOEjzp0gCCgfCRbCNg5y,0.735,0.774,0,-2.024,0.077,0.201,0.000721,0.0538,0.726,172.049,4
Tattoo - Remix with Camilo,4G3PTss3mU33Tau7t4KbwE,222.68,72,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE,spotify:track:4G3PTss3mU33Tau7t4KbwE,0.637,0.721,9,-5.134,0.286,0.0406,0.0,0.0525,0.691,193.922,4
Intro - Live,0N2aOEqXQuKLWPgFpsL3J5,52.0,21,https://open.spotify.com/track/0N2aOEqXQuKLWPgFpsL3J5,spotify:track:0N2aOEqXQuKLWPgFpsL3J5,0.501,0.632,2,-7.297,0.88,0.264,0.0,0.15,0.707,81.025,5
Que Le Dé - Live,4J1OOl2fTpKzzzb4Q1XytX,135.438,23,https://open.spotify.com/track/4J1OOl2fTpKzzzb4Q1XytX,spotify:track:4J1OOl2fTpKzzzb4Q1XytX,0.858,0.602,9,-4.097,0.17,0.208,1.8e-06,0.315,0.414,99.972,4
El Efecto - Live,00lSB6dw16MKdBZXVS9nRm,214.395,26,https://open.spotify.com/track/00lSB6dw16MKdBZXVS9nRm,spotify:track:00lSB6dw16MKdBZXVS9nRm,0.826,0.68,0,-2.379,0.176,0.404,0.0,0.109,0.778,83.911,4
Al Mismo Tiempo - Live,6SguqPuecoRQ5ouvgSu9eX,220.414,27,https://open.spotify.com/track/6SguqPuecoRQ5ouvgSu9eX,spotify:track:6SguqPuecoRQ5ouvgSu9eX,0.707,0.638,9,-3.437,0.0335,0.718,0.0,0.0941,0.315,132.744,4
Dream Girl - Remix - Live,3vhErk0GgGqENrp9INsZMY,168.028,27,https://open.spotify.com/track/3vhErk0GgGqENrp9INsZMY,spotify:track:3vhErk0GgGqENrp9INsZMY,0.786,0.607,2,-4.536,0.296,0.419,3.74e-06,0.375,0.58,169.973,4
T.T.I. - Live,5EY54pSiBZWojKMzXGG3AS,135.498,22,https://open.spotify.com/track/5EY54pSiBZWojKMzXGG3AS,spotify:track:5EY54pSiBZWojKMzXGG3AS,0.84,0.673,6,-2.48,0.112,0.374,0.0,0.123,0.564,94.975,4
Yo Sabía - Live,5Tkz5C1DUyLZ3zLYO52Aqx,221.123,21,https://open.spotify.com/track/5Tkz5C1DUyLZ3zLYO52Aqx,spotify:track:5Tkz5C1DUyLZ3zLYO52Aqx,0.742,0.699,10,-4.141,0.143,0.443,1.89e-05,0.154,0.442,159.977,4
Cuerpo en Venta - Live,59aHc7ZJYRBphBcGp3WfTe,119.125,21,https://open.spotify.com/track/59aHc7ZJYRBphBcGp3WfTe,spotify:track:59aHc7ZJYRBphBcGp3WfTe,0.531,0.51,11,-4.013,0.222,0.481,0.0,0.16,0.436,183.933,4
La Cama - Remix - Live,60mMsBRMTSJL8nSDTMo9Tl,99.277,21,https://open.spotify.com/track/60mMsBRMTSJL8nSDTMo9Tl,spotify:track:60mMsBRMTSJL8nSDTMo9Tl,0.883,0.579,2,-2.539,0.119,0.461,0.0,0.319,0.795,174.124,4
Detective - Live,2qQxdmmev9X1tSHoiBINMW,128.342,21,https://open.spotify.com/track/2qQxdmmev9X1tSHoiBINMW,spotify:track:2qQxdmmev9X1tSHoiBINMW,0.862,0.733,3,-2.41,0.0518,0.272,0.0,0.223,0.605,94.982,4
Ponte Pa' Mí - Live,72CjIC1iqPZjZlMk33iIzQ,172.317,23,https://open.spotify.com/track/72CjIC1iqPZjZlMk33iIzQ,spotify:track:72CjIC1iqPZjZlMk33iIzQ,0.814,0.674,8,-3.519,0.203,0.538,0.0,0.115,0.539,84.941,4
Mírame - Live,7oG7hbUboMqIwidV86z97C,183.021,22,https://open.spotify.com/track/7oG7hbUboMqIwidV86z97C,spotify:track:7oG7hbUboMqIwidV86z97C,0.797,0.453,1,-2.639,0.0583,0.339,0.0,0.132,0.372,87.894,4
Elegí - Live,3pE21gD680YsjNE5oJzRka,230.511,22,https://open.spotify.com/track/3pE21gD680YsjNE5oJzRka,spotify:track:3pE21gD680YsjNE5oJzRka,0.837,0.666,9,-3.575,0.171,0.232,0.0,0.103,0.461,171.816,4
Interlude - Live,5zTERBWi4174KQL0YYzfB8,132.577,19,https://open.spotify.com/track/5zTERBWi4174KQL0YYzfB8,spotify:track:5zTERBWi4174KQL0YYzfB8,0.552,0.651,9,-5.12,0.317,0.149,1.53e-05,0.169,0.276,129.307,5
