track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
CAIRO,16dUQ4quIHDe4ZZ0wF1EMN,198.666,80,https://open.spotify.com/track/16dUQ4quIHDe4ZZ0wF1EMN,spotify:track:16dUQ4quIHDe4ZZ0wF1EMN,0.677,0.957,5,-3.979,0.292,0.483,0.000438,0.0961,0.469,115.0,4
MAÑANA SERÁ BONITO,4bycD60yZgR6anIBtmU8UH,210.986,76,https://open.spotify.com/track/4bycD60yZgR6anIBtmU8UH,spotify:track:4bycD60yZgR6anIBtmU8UH,0.715,0.777,8,-4.569,0.0874,0.455,3.5e-05,0.326,0.245,92.006,4
DÉJALOS QUE MIREN,1gDN23O2aqeWX5NqjSnAbV,167.773,56,https://open.spotify.com/track/1gDN23O2aqeWX5NqjSnAbV,spotify:track:1gDN23O2aqeWX5NqjSnAbV,0.578,0.843,6,-4.377,0.0914,0.695,0.000167,0.141,0.871,151.928,4
EL MAKINON,2FSGUA0gFgGeQdprjtGM2M,209.16,79,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M,spotify:track:2FSGUA0gFgGeQdprjtGM2M,0.706,0.635,5,-3.224,0.125,0.256,0.0,0.108,0.443,88.863,4
200 COPAS,0aZnyTWJNgdzYoOiaW8HKG,217.213,77,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG,spotify:track:0aZnyTWJNgdzYoOiaW8HKG,0.704,0.515,9,-5.25,0.206,0.767,0.0,0.415,0.885,91.246,3
CONTIGO VOY A MUERTE,615XWyY2RPfk3iuYcU6qvi,219.96,76,https://open.spotify.com/track/615XWyY2RPfk3iuYcU6qvi,spotify:track:615XWyY2RPfk3iuYcU6qvi,0.853,0.77,11,-2.593,0.0484,0.2,3.85e-06,0.0627,0.781,82.994,4
DVD,2Uk2XAamvFG6AecKgayLKU,198.973,56,https://open.spotify.com/track/2Uk2XAamvFG6AecKgayLKU,spotify:track:2Uk2XAamvFG6AecKgayLKU,0.785,0.777,6,-4.145,0.263,0.04,1.6e-05,0.35,0.512,164.018,4
EL BARCO,0MT6qJd7wKlWjH7tP7oWHi,203.506,80,https://open.spotify.com/track/0MT6qJd7wKlWjH7tP7oWHi,spotify:track:0MT6qJd7wKlWjH7tP7oWHi,0.849,0.85,8,-3.436,0.0437,0.611,0.000193,0.329,0.92,143.975,4
LOCATION,478g4LSkyMB1PMkVOVmIaE,263.013,59,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE,spotify:track:478g4LSkyMB1PMkVOVmIaE,0.765,0.771,1,-3.887,0.0508,0.0487,0.0,0.313,0.66,115.984,4
GATO MALO,7wy5kv4fYAsR9qFxKKZC5E,225.173,62,https://open.spotify.com/track/7wy5kv4fYAsR9qFxKKZC5E,spotify:track:7wy5kv4fYAsR9qFxKKZC5E,0.59,0.873,4,-4.247,0.197,0.353,0.0,0.0977,0.523,111.994,4
ODISEA,1lyT9DtXlF7bjiwEurRpRU,223.666,53,https://open.spotify.com/track/1lyT9DtXlF7bjiwEurRpRU,spotify:track:1lyT9DtXlF7bjiwEurRpRU,0.902,0.726,9,-2.3,0.0712,0.135,3.22e-05,0.108,0.415,175.919,4
BICHOTA,1WvrDdouh6C51In1SdATbq,178.693,73,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq,spotify:track:1WvrDdouh6C51In1SdATbq,0.658,0.864,1,-4.105,0.154,0.204,0.000626,0.105,0.865,163.922,4
SOLA ES MEJOR,6b5LFS96QBt4qJ5Yd3tfqm,200.146,67,https://open.spotify.com/track/6b5LFS96QBt4qJ5Yd3tfqm,spotify:track:6b5LFS96QBt4qJ5Yd3tfqm,0.788,0.79,11,-3.743,0.0843,0.078,0.00015,0.0665,0.695,160.048,4
ARRANCA PAL CARAJO,2LRI27CycRpNInbdM8AFLI,246.76,49,https://open.spotify.com/track/2LRI27CycRpNInbdM8AFLI,spotify:track:2LRI27CycRpNInbdM8AFLI,0.827,0.819,1,-3.032,0.182,0.0765,0.0,0.206,0.744,160.143,4
"Ay, DiOs Mío!",1beTDCe7sT7fzm8WIKXicz,189.413,69,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz,spotify:track:1beTDCe7sT7fzm8WIKXicz,0.708,0.717,11,-4.395,0.19,0.511,0.00101,0.106,0.518,180.001,4
BEAUTIFUL BOY,50dG65XY5SNFkpFl2xA5Dn,197.333,50,https://open.spotify.com/track/50dG65XY5SNFkpFl2xA5Dn,spotify:track:50dG65XY5SNFkpFl2xA5Dn,0.631,0.823,11,-5.249,0.0976,0.268,0.0,0.23,0.642,103.002,4
Tusa,0dKg2vGC1hFqcK5LGTaKzX,201.92,71,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX,spotify:track:0dKg2vGC1hFqcK5LGTaKzX,0.701,0.799,2,-3.272,0.282,0.309,7.36e-05,0.0514,0.607,100.946,4
LEYENDAS,5vQy9fwVJTeLsaX9IOpCcp,352.093,63,https://open.spotify.com/track/5vQy9fwVJTeLsaX9IOpCcp,spotify:track:5vQy9fwVJTeLsaX9IOpCcp,0.784,0.554,1,-5.459,0.113,0.0607,0.0,0.301,0.61,96.699,4
Ocean,6qoIFQfdmaQF9A1gb67tR7,155.946,75,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,spotify:track:6qoIFQfdmaQF9A1gb67tR7,0.482,0.727,11,-6.193,0.115,0.933,0.0,0.388,0.487,74.93,4
Punto G,2E82gORVSA7UMEz5M1IP3b,183.16,57,https://open.spotify.com/track/2E82gORVSA7UMEz5M1IP3b,spotify:track:2E82gORVSA7UMEz5M1IP3b,0.746,0.791,6,-4.716,0.0907,0.00938,0.000117,0.125,0.905,165.994,4
Love With A Quality,6F9DPkjP6Tbz9FLgLyYgX6,223.76,56,https://open.spotify.com/track/6F9DPkjP6Tbz9FLgLyYgX6,spotify:track:6F9DPkjP6Tbz9FLgLyYgX6,0.752,0.849,4,-3.756,0.146,0.0646,3.15e-06,0.106,0.586,101.018,4
Baby,1eRdeUgwXTHexTTY7kqPS4,240.013,49,https://open.spotify.com/track/1eRdeUgwXTHexTTY7kqPS4,spotify:track:1eRdeUgwXTHexTTY7kqPS4,0.682,0.713,7,-5.852,0.0555,0.164,0.0,0.113,0.489,160.503,4
Sin Corazón,690JwCXepkfh98mSMxCrrd,171.2,50,https://open.spotify.com/track/690JwCXepkfh98mSMxCrrd,spotify:track:690JwCXepkfh98mSMxCrrd,0.766,0.8,10,-4.625,0.0553,0.242,6.96e-06,0.11,0.657,141.936,4
Dices Que Te Vas,0QHOIQxRlIPYPJ1HLgIN8S,202.053,62,https://open.spotify.com/track/0QHOIQxRlIPYPJ1HLgIN8S,spotify:track:0QHOIQxRlIPYPJ1HLgIN8S,0.287,0.506,7,-10.009,0.0643,0.861,0.0,0.605,0.57,147.076,4
Pineapple,24SkzbH7hGhUvqIaKlJ1TY,180.96,70,https://open.spotify.com/track/24SkzbH7hGhUvqIaKlJ1TY,spotify:track:24SkzbH7hGhUvqIaKlJ1TY,0.664,0.778,4,-4.627,0.083,0.0399,1.95e-06,0.31,0.657,94.951,4
La Vida Continuó,6NUDfOCXlQT0RIuYJCXbfe,167.253,66,https://open.spotify.com/track/6NUDfOCXlQT0RIuYJCXbfe,spotify:track:6NUDfOCXlQT0RIuYJCXbfe,0.834,0.808,6,-3.141,0.183,0.279,0.0,0.0321,0.76,153.95,4
