track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
EY CHORY,1npr0HhhkrcTOgqWOp76TM,178.706,74,https://open.spotify.com/track/1npr0HhhkrcTOgqWOp76TM,spotify:track:1npr0HhhkrcTOgqWOp76TM,0.423,0.728,11,-7.355,0.119,0.0874,6.45e-06,0.0927,0.445,93.993,4
VELOCIDAD CRUCERO,7bLJA1PblcBfTU6aqB1Gct,135.973,69,https://open.spotify.com/track/7bLJA1PblcBfTU6aqB1Gct,spotify:track:7bLJA1PblcBfTU6aqB1Gct,0.506,0.827,1,-7.234,0.322,0.0374,0.0,0.154,0.399,89.998,4
ROMÁNTICOS DE LUNES,3b9hmdwt0RWluhFm3hLKz8,242.84,72,https://open.spotify.com/track/3b9hmdwt0RWluhFm3hLKz8,spotify:track:3b9hmdwt0RWluhFm3hLKz8,0.579,0.693,4,-5.761,0.0973,0.0699,0.0,0.096,0.363,98.903,4
el único tema del ferxxo,5CLzTL3KI3xb1SbjE8lNWO,182.893,75,https://open.spotify.com/track/5CLzTL3KI3xb1SbjE8lNWO,spotify:track:5CLzTL3KI3xb1SbjE8lNWO,0.769,0.813,0,-2.516,0.0897,0.0214,0.0,0.0845,0.747,102.977,4
PRIVILEGIOS,2HFJ2nXf7Komq9a4Z0Bbrm,185.6,67,https://open.spotify.com/track/2HFJ2nXf7Komq9a4Z0Bbrm,spotify:track:2HFJ2nXf7Komq9a4Z0Bbrm,0.752,0.53,4,-5.413,0.0556,0.153,0.0,0.0909,0.524,159.804,4
Intro,2NjSnDtwbq7EveHLdJfv6J,33.866,48,https://open.spotify.com/track/2NjSnDtwbq7EveHLdJfv6J,spotify:track:2NjSnDtwbq7EveHLdJfv6J,0.567,0.608,8,-14.447,0.188,0.895,0.195,0.641,0.694,73.793,3
Castigo,18pWcEUcUJpBFs7eNBsBht,177.28,70,https://open.spotify.com/track/18pWcEUcUJpBFs7eNBsBht,spotify:track:18pWcEUcUJpBFs7eNBsBht,0.68,0.728,8,-4.129,0.165,0.0865,1.06e-06,0.1,0.704,179.839,4
Feliz Cumpleaños Ferxxo,2CeKVsFFXG4QzA415QygGb,155.96,87,https://open.spotify.com/track/2CeKVsFFXG4QzA415QygGb,spotify:track:2CeKVsFFXG4QzA415QygGb,0.573,0.865,5,-5.501,0.0678,0.0863,0.0,0.305,0.563,94.999,4
Nieve,2gLDm4AjVnHlsik9sK87vj,140.426,63,https://open.spotify.com/track/2gLDm4AjVnHlsik9sK87vj,spotify:track:2gLDm4AjVnHlsik9sK87vj,0.667,0.849,6,-6.324,0.0466,0.00346,0.00104,0.108,0.747,120.033,4
Ferxxo 100,1sbNEFiURUYfy024cJX8JG,167.76,81,https://open.spotify.com/track/1sbNEFiURUYfy024cJX8JG,spotify:track:1sbNEFiURUYfy024cJX8JG,0.562,0.705,8,-3.378,0.0674,0.257,0.0,0.137,0.569,163.893,4
Belixe,0S4w5ZBEbxYxiygvz9wWdK,155.533,66,https://open.spotify.com/track/0S4w5ZBEbxYxiygvz9wWdK,spotify:track:0S4w5ZBEbxYxiygvz9wWdK,0.673,0.876,8,-7.15,0.139,0.0524,0.00571,0.0813,0.462,113.995,4
XQ Te Pones Así,6JUMswocQ7Hp46kj9kyljT,218.693,65,https://open.spotify.com/track/6JUMswocQ7Hp46kj9kyljT,spotify:track:6JUMswocQ7Hp46kj9kyljT,0.697,0.812,10,-3.441,0.0694,0.134,0.0,0.147,0.477,92.03,4
X20X,1lqJic7VMR7PBlwpPrZuPK,103.24,63,https://open.spotify.com/track/1lqJic7VMR7PBlwpPrZuPK,spotify:track:1lqJic7VMR7PBlwpPrZuPK,0.358,0.461,10,-6.051,0.0868,0.702,0.0,0.135,0.353,81.219,4
Prohibidox,3PpWCS95gDUDRPko3u1MZ9,166.253,79,https://open.spotify.com/track/3PpWCS95gDUDRPko3u1MZ9,spotify:track:3PpWCS95gDUDRPko3u1MZ9,0.801,0.647,1,-2.946,0.249,0.0451,0.0,0.0628,0.517,180.108,4
Lady Mi Amor,30Xh83fw03PZ2Wfm36H4EZ,147.066,66,https://open.spotify.com/track/30Xh83fw03PZ2Wfm36H4EZ,spotify:track:30Xh83fw03PZ2Wfm36H4EZ,0.618,0.782,2,-5.288,0.055,0.0632,7.44e-05,0.15,0.752,93.016,4
Quemando Calorías,3ss6y0Id5Iwk2L5MIZp4xF,182.506,67,https://open.spotify.com/track/3ss6y0Id5Iwk2L5MIZp4xF,spotify:track:3ss6y0Id5Iwk2L5MIZp4xF,0.698,0.678,7,-4.57,0.0587,0.00214,4.94e-06,0.0945,0.812,192.005,4
Aguante,2dWGQ975YrNma4SdfmJRDg,164.413,67,https://open.spotify.com/track/2dWGQ975YrNma4SdfmJRDg,spotify:track:2dWGQ975YrNma4SdfmJRDg,0.645,0.756,7,-4.909,0.0736,0.106,8.51e-06,0.173,0.412,169.966,4
Si Te La Encuentras Por Ahí,2vsoD8S1OyrWSVIA43hjaU,191.506,73,https://open.spotify.com/track/2vsoD8S1OyrWSVIA43hjaU,spotify:track:2vsoD8S1OyrWSVIA43hjaU,0.569,0.736,8,-3.559,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4
Normal,0T2pB7P1VdXPhLdQZ488uH,171.88,85,https://open.spotify.com/track/0T2pB7P1VdXPhLdQZ488uH,spotify:track:0T2pB7P1VdXPhLdQZ488uH,0.56,0.709,4,-4.867,0.171,0.034,0.0,0.315,0.541,170.082,4
La Buena Fai,188Iohmux4LrDaj6e6eeEx,144.573,60,https://open.spotify.com/track/188Iohmux4LrDaj6e6eeEx,spotify:track:188Iohmux4LrDaj6e6eeEx,0.539,0.712,2,-5.194,0.174,0.116,0.0,0.219,0.406,167.764,4
CORONE,6xJp1Tz9uUhfgFlrpznD4k,162.72,53,https://open.spotify.com/track/6xJp1Tz9uUhfgFlrpznD4k,spotify:track:6xJp1Tz9uUhfgFlrpznD4k,0.678,0.701,1,-5.643,0.069,0.093,0.00322,0.105,0.634,167.992,4
CHIMBITA,5Qu488SxfRwIYalrMMjmE7,156.146,54,https://open.spotify.com/track/5Qu488SxfRwIYalrMMjmE7,spotify:track:5Qu488SxfRwIYalrMMjmE7,0.656,0.682,8,-4.461,0.188,0.142,0.0,0.111,0.572,185.951,4
TENGO FE,5rkfAeAGqww7UUGkqGZ1Wr,146.426,53,https://open.spotify.com/track/5rkfAeAGqww7UUGkqGZ1Wr,spotify:track:5rkfAeAGqww7UUGkqGZ1Wr,0.571,0.757,7,-4.547,0.0906,0.264,8.97e-06,0.313,0.538,159.933,4
